# ----------------------------------------,,,,,,
# Reports snapshot,,,,,,
# Account: Extrusora de la Fuente,,,,,,
# Property: extrusoradelafuente.com,,,,,,
# ----------------------------------------,,,,,,
#,,,,,,
# Start date: 20250224,,,,,,
# End date: 20250323,,,,,,
Nth day,Active users,,,,,
,,,,,,
# Where does your LTV come from?,,,,,,
# Start date: 20250224,,,,,,
# End date: 20250323,,,,,,
First user primary channel group (Default Channel Group),Average 120d value,,,,,
,,,,,,
,,,,,,
#,,,,,,
# Start date: 20250224,,,,,,
# End date: 20250323,,,,,,
Item name,Items purchased,,,,,
,,,,,,
,,,,,,
# How does activity on your platforms compare?,,,,,,
# Start date: 20250224,,,,,,
# End date: 20250323,,,,,,
Platform,Key events,,,,,
